wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.4 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230616_112302-yzhz6avz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run peachy-snowflake-2
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Distill%20-%20MSE/runs/yzhz6avz
Episode: 1/10000, Score: None, Epsilon: -1.00
Episode: 88/10000, Score: 113.5577621459961, Epsilon: -1.00
Episode: 89/10000, Score: 81.46233367919922, Epsilon: -1.00
Episode: 90/10000, Score: 126.70390319824219, Epsilon: -1.00
Episode: 91/10000, Score: 128.41477966308594, Epsilon: -1.00
Episode: 92/10000, Score: 129.72178649902344, Epsilon: -1.00
Episode: 93/10000, Score: 115.1185302734375, Epsilon: -1.00
Episode: 94/10000, Score: 118.42546081542969, Epsilon: -1.00
Episode: 95/10000, Score: 129.75071716308594, Epsilon: -1.00
Episode: 96/10000, Score: 111.68296813964844, Epsilon: -1.00
Episode: 97/10000, Score: 114.08796691894531, Epsilon: -1.00
Episode: 98/10000, Score: 95.50270080566406, Epsilon: -1.00
Episode: 99/10000, Score: 85.8194580078125, Epsilon: -1.00
Episode: 100/10000, Score: 88.2490463256836, Epsilon: -1.00
Episode: 101/10000, Score: 126.39985656738281, Epsilon: -1.00
Episode: 102/10000, Score: 103.26884460449219, Epsilon: -1.00
Episode: 103/10000, Score: 79.49781036376953, Epsilon: -1.00
Episode: 104/10000, Score: 91.6718978881836, Epsilon: -1.00
Episode: 105/10000, Score: 151.79331970214844, Epsilon: -1.00
Episode: 106/10000, Score: 98.54998779296875, Epsilon: -1.00
Episode: 107/10000, Score: 108.10565185546875, Epsilon: -1.00
Episode: 108/10000, Score: 107.44207763671875, Epsilon: -1.00
Episode: 109/10000, Score: 93.3853759765625, Epsilon: -1.00
Episode: 110/10000, Score: 80.49650573730469, Epsilon: -1.00
Episode: 111/10000, Score: 113.23068237304688, Epsilon: -1.00
Episode: 112/10000, Score: 78.11418151855469, Epsilon: -1.00
Episode: 113/10000, Score: 85.71331787109375, Epsilon: -1.00
Episode: 114/10000, Score: 91.55079650878906, Epsilon: -1.00
Episode: 115/10000, Score: 127.14451599121094, Epsilon: -1.00
Episode: 116/10000, Score: 121.39543151855469, Epsilon: -1.00
Episode: 117/10000, Score: 102.5669174194336, Epsilon: -1.00
Episode: 118/10000, Score: 112.12642669677734, Epsilon: -1.00
Episode: 119/10000, Score: 105.58721923828125, Epsilon: -1.00
Episode: 120/10000, Score: 64.09801483154297, Epsilon: -1.00
Episode: 121/10000, Score: 92.46403503417969, Epsilon: -1.00
Episode: 122/10000, Score: 99.99627685546875, Epsilon: -1.00
Episode: 123/10000, Score: 79.49742126464844, Epsilon: -1.00
Episode: 124/10000, Score: 107.18988037109375, Epsilon: -1.00
Episode: 125/10000, Score: 81.90625, Epsilon: -1.00
Episode: 126/10000, Score: 96.974609375, Epsilon: -1.00
Episode: 127/10000, Score: 97.09800720214844, Epsilon: -1.00
Episode: 128/10000, Score: 117.48970794677734, Epsilon: -1.00
Episode: 129/10000, Score: 101.59935760498047, Epsilon: -1.00
Episode: 130/10000, Score: 93.76021575927734, Epsilon: -1.00
Episode: 131/10000, Score: 90.53244018554688, Epsilon: -1.00
Episode: 132/10000, Score: 79.9162368774414, Epsilon: -1.00
Episode: 133/10000, Score: 111.48715209960938, Epsilon: -1.00
Episode: 134/10000, Score: 86.66883850097656, Epsilon: -1.00
Episode: 135/10000, Score: 62.59248352050781, Epsilon: -1.00
Episode: 136/10000, Score: 97.0057373046875, Epsilon: -1.00
Episode: 137/10000, Score: 81.99995422363281, Epsilon: -1.00
Episode: 138/10000, Score: 64.36397552490234, Epsilon: -1.00
Episode: 139/10000, Score: 67.0826416015625, Epsilon: -1.00
Episode: 140/10000, Score: 85.9113998413086, Epsilon: -1.00
Episode: 141/10000, Score: 92.42070007324219, Epsilon: -1.00
Episode: 142/10000, Score: 100.82048797607422, Epsilon: -1.00
Episode: 143/10000, Score: 52.1511344909668, Epsilon: -1.00
Episode: 144/10000, Score: 62.439544677734375, Epsilon: -1.00
Episode: 145/10000, Score: 62.29821014404297, Epsilon: -1.00
Episode: 146/10000, Score: 58.76288986206055, Epsilon: -1.00
Episode: 147/10000, Score: 96.1538314819336, Epsilon: -1.00
Episode: 148/10000, Score: 99.04234313964844, Epsilon: -1.00
Episode: 149/10000, Score: 107.16200256347656, Epsilon: -1.00
Episode: 150/10000, Score: 90.7104721069336, Epsilon: -1.00
Episode: 151/10000, Score: 93.93913269042969, Epsilon: -1.00
Episode: 152/10000, Score: 60.07395553588867, Epsilon: -1.00
Episode: 153/10000, Score: 60.35255432128906, Epsilon: -1.00
Episode: 154/10000, Score: 95.7603988647461, Epsilon: -1.00
Episode: 155/10000, Score: 86.75865173339844, Epsilon: -1.00
Episode: 156/10000, Score: 89.64009857177734, Epsilon: -1.00
Episode: 157/10000, Score: 74.95500946044922, Epsilon: -1.00
Episode: 158/10000, Score: 82.94143676757812, Epsilon: -1.00
Episode: 159/10000, Score: 84.60659790039062, Epsilon: -1.00
Episode: 160/10000, Score: 86.296630859375, Epsilon: -1.00
Episode: 161/10000, Score: 80.68566131591797, Epsilon: -1.00
Episode: 162/10000, Score: 64.8782730102539, Epsilon: -1.00
Episode: 163/10000, Score: 71.77547454833984, Epsilon: -1.00
Episode: 164/10000, Score: 96.51664733886719, Epsilon: -1.00
Episode: 165/10000, Score: 71.31116485595703, Epsilon: -1.00
Episode: 166/10000, Score: 74.88542175292969, Epsilon: -1.00
Episode: 167/10000, Score: 61.94410705566406, Epsilon: -1.00
Episode: 168/10000, Score: 69.1584701538086, Epsilon: -1.00
Episode: 169/10000, Score: 53.7081413269043, Epsilon: -1.00
Episode: 170/10000, Score: 52.98106002807617, Epsilon: -1.00
Episode: 171/10000, Score: 59.55082321166992, Epsilon: -1.00
Episode: 172/10000, Score: 52.386592864990234, Epsilon: -1.00
Episode: 173/10000, Score: 69.85169982910156, Epsilon: -1.00
Episode: 174/10000, Score: 75.32147979736328, Epsilon: -1.00
Episode: 175/10000, Score: 68.84815979003906, Epsilon: -1.00
Episode: 176/10000, Score: 77.70857238769531, Epsilon: -1.00
Episode: 177/10000, Score: 47.19929122924805, Epsilon: -1.00
Episode: 178/10000, Score: 94.1060791015625, Epsilon: -1.00
Episode: 179/10000, Score: 35.432865142822266, Epsilon: -1.00
Episode: 180/10000, Score: 65.97590637207031, Epsilon: -1.00
