wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230524_152226-tvj9bp5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rare-totem-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting/runs/tvj9bp5n
Episode: 100/10000, Score: -300.0, Epsilon: 0.24
LunarLander solved in 100 episodes!
Episode: 101/10000, Score: -300.0, Epsilon: 0.24
Episode: 102/10000, Score: -300.0, Epsilon: 0.23
Episode: 103/10000, Score: -300.0, Epsilon: 0.23
Episode: 104/10000, Score: -254.0, Epsilon: 0.23
Episode: 105/10000, Score: -300.0, Epsilon: 0.22
Episode: 106/10000, Score: -300.0, Epsilon: 0.22
Episode: 107/10000, Score: -300.0, Epsilon: 0.22
Episode: 108/10000, Score: -300.0, Epsilon: 0.21
Episode: 109/10000, Score: -300.0, Epsilon: 0.21
Episode: 110/10000, Score: -300.0, Epsilon: 0.21
Episode: 111/10000, Score: -300.0, Epsilon: 0.21
Episode: 112/10000, Score: -300.0, Epsilon: 0.20
Episode: 113/10000, Score: -300.0, Epsilon: 0.20
Episode: 114/10000, Score: -300.0, Epsilon: 0.20
Episode: 115/10000, Score: -300.0, Epsilon: 0.19
Episode: 116/10000, Score: -300.0, Epsilon: 0.19
Episode: 117/10000, Score: -300.0, Epsilon: 0.19
Episode: 118/10000, Score: -300.0, Epsilon: 0.18
Episode: 119/10000, Score: -300.0, Epsilon: 0.18
Episode: 120/10000, Score: -300.0, Epsilon: 0.18
Episode: 121/10000, Score: -300.0, Epsilon: 0.18
Episode: 122/10000, Score: -300.0, Epsilon: 0.17
Episode: 123/10000, Score: -300.0, Epsilon: 0.17
Episode: 124/10000, Score: -300.0, Epsilon: 0.17
Episode: 125/10000, Score: -300.0, Epsilon: 0.17
Episode: 126/10000, Score: -300.0, Epsilon: 0.16
Episode: 127/10000, Score: -300.0, Epsilon: 0.16
Episode: 128/10000, Score: -300.0, Epsilon: 0.16
Episode: 129/10000, Score: -300.0, Epsilon: 0.16
Episode: 130/10000, Score: -300.0, Epsilon: 0.15
Episode: 131/10000, Score: -300.0, Epsilon: 0.15
Episode: 132/10000, Score: -274.0, Epsilon: 0.15
Episode: 133/10000, Score: -300.0, Epsilon: 0.15
Episode: 134/10000, Score: -232.0, Epsilon: 0.15
Episode: 135/10000, Score: -300.0, Epsilon: 0.14
Episode: 136/10000, Score: -300.0, Epsilon: 0.14
Episode: 137/10000, Score: -300.0, Epsilon: 0.14
Episode: 138/10000, Score: -300.0, Epsilon: 0.14
Episode: 139/10000, Score: -300.0, Epsilon: 0.14
Episode: 140/10000, Score: -300.0, Epsilon: 0.13
Episode: 141/10000, Score: -281.0, Epsilon: 0.13
Episode: 142/10000, Score: -300.0, Epsilon: 0.13
Episode: 143/10000, Score: -300.0, Epsilon: 0.13
Episode: 144/10000, Score: -300.0, Epsilon: 0.13
Episode: 145/10000, Score: -300.0, Epsilon: 0.12
Episode: 146/10000, Score: -300.0, Epsilon: 0.12
Episode: 147/10000, Score: -300.0, Epsilon: 0.12
Episode: 148/10000, Score: -300.0, Epsilon: 0.12
Episode: 149/10000, Score: -300.0, Epsilon: 0.12
Episode: 150/10000, Score: -300.0, Epsilon: 0.12
Episode: 151/10000, Score: -300.0, Epsilon: 0.11
Episode: 152/10000, Score: -300.0, Epsilon: 0.11
Episode: 153/10000, Score: -300.0, Epsilon: 0.11
Episode: 154/10000, Score: -300.0, Epsilon: 0.11
Episode: 155/10000, Score: -300.0, Epsilon: 0.11
Episode: 156/10000, Score: -300.0, Epsilon: 0.11
Episode: 157/10000, Score: -300.0, Epsilon: 0.10
Episode: 158/10000, Score: -300.0, Epsilon: 0.10
Episode: 159/10000, Score: -300.0, Epsilon: 0.10
Episode: 160/10000, Score: -300.0, Epsilon: 0.10
Episode: 161/10000, Score: -300.0, Epsilon: 0.10
Episode: 162/10000, Score: -300.0, Epsilon: 0.10
Episode: 163/10000, Score: -300.0, Epsilon: 0.09
Episode: 164/10000, Score: -300.0, Epsilon: 0.09
Episode: 165/10000, Score: -300.0, Epsilon: 0.09
Episode: 166/10000, Score: -300.0, Epsilon: 0.09
Episode: 167/10000, Score: -200.0, Epsilon: 0.09
Episode: 168/10000, Score: -147.0, Epsilon: 0.09
Episode: 169/10000, Score: -137.0, Epsilon: 0.09
Episode: 170/10000, Score: -300.0, Epsilon: 0.09
Episode: 171/10000, Score: -300.0, Epsilon: 0.09
Episode: 172/10000, Score: -300.0, Epsilon: 0.08
Episode: 173/10000, Score: -300.0, Epsilon: 0.08
Episode: 174/10000, Score: -300.0, Epsilon: 0.08
Episode: 175/10000, Score: -300.0, Epsilon: 0.08
