wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230524_152226-tvj9bp5n
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rare-totem-6
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20New%20Weighting/runs/tvj9bp5n
Episode: 242/10000, Score: -300.0, Epsilon: 0.03
Episode: 243/10000, Score: -300.0, Epsilon: 0.03
Episode: 244/10000, Score: -300.0, Epsilon: 0.03
Episode: 245/10000, Score: -300.0, Epsilon: 0.03
Episode: 246/10000, Score: -300.0, Epsilon: 0.03
Episode: 247/10000, Score: -300.0, Epsilon: 0.03
Episode: 248/10000, Score: -300.0, Epsilon: 0.03
Episode: 249/10000, Score: -300.0, Epsilon: 0.03
Episode: 250/10000, Score: -300.0, Epsilon: 0.03
Episode: 251/10000, Score: -300.0, Epsilon: 0.03
Episode: 252/10000, Score: -300.0, Epsilon: 0.03
Episode: 253/10000, Score: -300.0, Epsilon: 0.03
Episode: 254/10000, Score: -300.0, Epsilon: 0.03
Episode: 255/10000, Score: -300.0, Epsilon: 0.02
Episode: 256/10000, Score: -300.0, Epsilon: 0.02
Episode: 257/10000, Score: -300.0, Epsilon: 0.02
Episode: 258/10000, Score: -300.0, Epsilon: 0.02
Episode: 259/10000, Score: -300.0, Epsilon: 0.02
Episode: 260/10000, Score: -300.0, Epsilon: 0.02
Episode: 261/10000, Score: -300.0, Epsilon: 0.02
Episode: 262/10000, Score: -300.0, Epsilon: 0.02
Episode: 263/10000, Score: -300.0, Epsilon: 0.02
Episode: 264/10000, Score: -300.0, Epsilon: 0.02
Episode: 265/10000, Score: -300.0, Epsilon: 0.02
Episode: 266/10000, Score: -300.0, Epsilon: 0.02
Episode: 267/10000, Score: -300.0, Epsilon: 0.02
Episode: 268/10000, Score: -300.0, Epsilon: 0.02
Episode: 269/10000, Score: -300.0, Epsilon: 0.02
Episode: 270/10000, Score: -300.0, Epsilon: 0.02
Episode: 271/10000, Score: -300.0, Epsilon: 0.02
Episode: 272/10000, Score: -300.0, Epsilon: 0.02
Episode: 273/10000, Score: -300.0, Epsilon: 0.02
Episode: 274/10000, Score: -300.0, Epsilon: 0.02
Episode: 275/10000, Score: -300.0, Epsilon: 0.02
Episode: 276/10000, Score: -300.0, Epsilon: 0.02
Episode: 277/10000, Score: -300.0, Epsilon: 0.02
Episode: 278/10000, Score: -300.0, Epsilon: 0.02
Episode: 279/10000, Score: -300.0, Epsilon: 0.02
Episode: 280/10000, Score: -300.0, Epsilon: 0.02
Episode: 281/10000, Score: -300.0, Epsilon: 0.02
Episode: 282/10000, Score: -300.0, Epsilon: 0.02
Episode: 283/10000, Score: -300.0, Epsilon: 0.02
Episode: 284/10000, Score: -300.0, Epsilon: 0.02
Episode: 285/10000, Score: -300.0, Epsilon: 0.02
Episode: 286/10000, Score: -300.0, Epsilon: 0.02
Episode: 287/10000, Score: -300.0, Epsilon: 0.02
Episode: 288/10000, Score: -300.0, Epsilon: 0.02
Episode: 289/10000, Score: -300.0, Epsilon: 0.01
Episode: 290/10000, Score: -300.0, Epsilon: 0.01
Episode: 291/10000, Score: -300.0, Epsilon: 0.01
Episode: 292/10000, Score: -300.0, Epsilon: 0.01
Episode: 293/10000, Score: -300.0, Epsilon: 0.01
Episode: 294/10000, Score: -300.0, Epsilon: 0.01
Episode: 295/10000, Score: -300.0, Epsilon: 0.01
Episode: 296/10000, Score: -300.0, Epsilon: 0.01
Episode: 297/10000, Score: -300.0, Epsilon: 0.01
Episode: 298/10000, Score: -300.0, Epsilon: 0.01
Episode: 299/10000, Score: -300.0, Epsilon: 0.01
Episode: 300/10000, Score: -300.0, Epsilon: 0.01
Episode: 301/10000, Score: -300.0, Epsilon: 0.01
Episode: 302/10000, Score: -300.0, Epsilon: 0.01
Episode: 303/10000, Score: -300.0, Epsilon: 0.01
Episode: 304/10000, Score: -300.0, Epsilon: 0.01
Episode: 305/10000, Score: -300.0, Epsilon: 0.01
Episode: 306/10000, Score: -300.0, Epsilon: 0.01
Episode: 307/10000, Score: -300.0, Epsilon: 0.01
Episode: 308/10000, Score: -300.0, Epsilon: 0.01
Episode: 309/10000, Score: -300.0, Epsilon: 0.01
Episode: 310/10000, Score: -300.0, Epsilon: 0.01
Episode: 311/10000, Score: -300.0, Epsilon: 0.01
Episode: 312/10000, Score: -300.0, Epsilon: 0.01
Episode: 313/10000, Score: -300.0, Epsilon: 0.01
Episode: 314/10000, Score: -300.0, Epsilon: 0.01
Episode: 315/10000, Score: -300.0, Epsilon: 0.01
Episode: 316/10000, Score: -300.0, Epsilon: 0.01
Episode: 317/10000, Score: -300.0, Epsilon: 0.01
