wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230531_143752-9ihfozuc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run golden-sunset-3
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh/runs/9ihfozuc
Episode: 100/100000, Score: -290.0, Epsilon: 0.23
Episode: 101/100000, Score: -300.0, Epsilon: 0.22
Episode: 102/100000, Score: -300.0, Epsilon: 0.22
Episode: 103/100000, Score: -229.0, Epsilon: 0.22
Episode: 104/100000, Score: -300.0, Epsilon: 0.21
Episode: 105/100000, Score: -300.0, Epsilon: 0.21
Episode: 106/100000, Score: -278.0, Epsilon: 0.21
Episode: 107/100000, Score: -300.0, Epsilon: 0.21
Episode: 108/100000, Score: -300.0, Epsilon: 0.20
Episode: 109/100000, Score: -300.0, Epsilon: 0.20
Episode: 110/100000, Score: -240.0, Epsilon: 0.20
Episode: 111/100000, Score: -300.0, Epsilon: 0.19
Episode: 112/100000, Score: -279.0, Epsilon: 0.19
Episode: 113/100000, Score: -300.0, Epsilon: 0.19
Episode: 114/100000, Score: -300.0, Epsilon: 0.19
Episode: 115/100000, Score: -271.0, Epsilon: 0.18
Episode: 116/100000, Score: -300.0, Epsilon: 0.18
Episode: 117/100000, Score: -300.0, Epsilon: 0.18
Episode: 118/100000, Score: -300.0, Epsilon: 0.17
Episode: 119/100000, Score: -191.0, Epsilon: 0.17
Episode: 120/100000, Score: -295.0, Epsilon: 0.17
Episode: 121/100000, Score: -270.0, Epsilon: 0.17
Episode: 122/100000, Score: -300.0, Epsilon: 0.17
Episode: 123/100000, Score: -191.0, Epsilon: 0.16
Episode: 124/100000, Score: -300.0, Epsilon: 0.16
Episode: 125/100000, Score: -300.0, Epsilon: 0.16
Episode: 126/100000, Score: -300.0, Epsilon: 0.16
Episode: 127/100000, Score: -226.0, Epsilon: 0.16
Episode: 128/100000, Score: -203.0, Epsilon: 0.15
Episode: 129/100000, Score: -300.0, Epsilon: 0.15
Episode: 130/100000, Score: -231.0, Epsilon: 0.15
Episode: 131/100000, Score: -226.0, Epsilon: 0.15
Episode: 132/100000, Score: -156.0, Epsilon: 0.15
Episode: 133/100000, Score: -195.0, Epsilon: 0.15
Episode: 134/100000, Score: -146.0, Epsilon: 0.14
Episode: 135/100000, Score: -297.0, Epsilon: 0.14
Episode: 136/100000, Score: -258.0, Epsilon: 0.14
Episode: 137/100000, Score: -300.0, Epsilon: 0.14
Episode: 138/100000, Score: -299.0, Epsilon: 0.14
Episode: 139/100000, Score: -266.0, Epsilon: 0.13
Episode: 140/100000, Score: -207.0, Epsilon: 0.13
Episode: 141/100000, Score: -217.0, Epsilon: 0.13
Episode: 142/100000, Score: -230.0, Epsilon: 0.13
Episode: 143/100000, Score: -171.0, Epsilon: 0.13
Episode: 144/100000, Score: -210.0, Epsilon: 0.13
Episode: 145/100000, Score: -287.0, Epsilon: 0.13
Episode: 146/100000, Score: -144.0, Epsilon: 0.12
Episode: 147/100000, Score: -199.0, Epsilon: 0.12
Episode: 148/100000, Score: -245.0, Epsilon: 0.12
Episode: 149/100000, Score: -212.0, Epsilon: 0.12
Episode: 150/100000, Score: -244.0, Epsilon: 0.12
Episode: 151/100000, Score: -246.0, Epsilon: 0.12
Episode: 152/100000, Score: -210.0, Epsilon: 0.12
Episode: 153/100000, Score: -196.0, Epsilon: 0.12
Episode: 154/100000, Score: -222.0, Epsilon: 0.11
Episode: 155/100000, Score: -300.0, Epsilon: 0.11
Episode: 156/100000, Score: -231.0, Epsilon: 0.11
Episode: 157/100000, Score: -236.0, Epsilon: 0.11
Episode: 158/100000, Score: -206.0, Epsilon: 0.11
Episode: 159/100000, Score: -163.0, Epsilon: 0.11
Episode: 160/100000, Score: -230.0, Epsilon: 0.11
Episode: 161/100000, Score: -248.0, Epsilon: 0.11
Episode: 162/100000, Score: -260.0, Epsilon: 0.10
Episode: 163/100000, Score: -252.0, Epsilon: 0.10
Episode: 164/100000, Score: -254.0, Epsilon: 0.10
Episode: 165/100000, Score: -176.0, Epsilon: 0.10
Episode: 166/100000, Score: -223.0, Epsilon: 0.10
Episode: 167/100000, Score: -300.0, Epsilon: 0.10
Episode: 168/100000, Score: -229.0, Epsilon: 0.10
Episode: 169/100000, Score: -248.0, Epsilon: 0.10
Episode: 170/100000, Score: -300.0, Epsilon: 0.09
Episode: 171/100000, Score: -261.0, Epsilon: 0.09
Episode: 172/100000, Score: -300.0, Epsilon: 0.09
Episode: 173/100000, Score: -229.0, Epsilon: 0.09
Episode: 174/100000, Score: -189.0, Epsilon: 0.09
Episode: 175/100000, Score: -259.0, Epsilon: 0.09
Episode: 176/100000, Score: -175.0, Epsilon: 0.09
Episode: 177/100000, Score: -195.0, Epsilon: 0.09
Episode: 178/100000, Score: -224.0, Epsilon: 0.09
Episode: 179/100000, Score: -201.0, Epsilon: 0.08
Episode: 180/100000, Score: -300.0, Epsilon: 0.08
Episode: 181/100000, Score: -300.0, Epsilon: 0.08
Episode: 182/100000, Score: -300.0, Epsilon: 0.08
Episode: 183/100000, Score: -295.0, Epsilon: 0.08
Episode: 184/100000, Score: -286.0, Epsilon: 0.08
Episode: 185/100000, Score: -300.0, Epsilon: 0.08
Episode: 186/100000, Score: -300.0, Epsilon: 0.08
Episode: 187/100000, Score: -300.0, Epsilon: 0.08
Episode: 188/100000, Score: -124.0, Epsilon: 0.07
Episode: 189/100000, Score: -254.0, Epsilon: 0.07
Episode: 190/100000, Score: -185.0, Epsilon: 0.07
Episode: 191/100000, Score: -181.0, Epsilon: 0.07
Episode: 192/100000, Score: -200.0, Epsilon: 0.07
Episode: 193/100000, Score: -273.0, Epsilon: 0.07
Episode: 194/100000, Score: -246.0, Epsilon: 0.07
Episode: 195/100000, Score: -273.0, Epsilon: 0.07
Episode: 196/100000, Score: -176.0, Epsilon: 0.07
Episode: 197/100000, Score: -155.0, Epsilon: 0.07
Episode: 198/100000, Score: -193.0, Epsilon: 0.07
Episode: 199/100000, Score: -190.0, Epsilon: 0.07
Episode: 200/100000, Score: -207.0, Epsilon: 0.07
Episode: 201/100000, Score: -177.0, Epsilon: 0.07
Episode: 202/100000, Score: -120.0, Epsilon: 0.07
Episode: 203/100000, Score: -149.0, Epsilon: 0.06
Episode: 204/100000, Score: -179.0, Epsilon: 0.06
Episode: 205/100000, Score: -149.0, Epsilon: 0.06
Episode: 206/100000, Score: -186.0, Epsilon: 0.06
Episode: 207/100000, Score: -259.0, Epsilon: 0.06
Episode: 208/100000, Score: -182.0, Epsilon: 0.06
Episode: 209/100000, Score: -108.0, Epsilon: 0.06
Episode: 210/100000, Score: -146.0, Epsilon: 0.06
Episode: 211/100000, Score: -158.0, Epsilon: 0.06
Episode: 212/100000, Score: -266.0, Epsilon: 0.06
Episode: 213/100000, Score: -172.0, Epsilon: 0.06
Episode: 214/100000, Score: -270.0, Epsilon: 0.06
Episode: 215/100000, Score: -169.0, Epsilon: 0.06
Episode: 216/100000, Score: -154.0, Epsilon: 0.06
Episode: 217/100000, Score: -167.0, Epsilon: 0.06
Episode: 218/100000, Score: -249.0, Epsilon: 0.06
Episode: 219/100000, Score: -151.0, Epsilon: 0.06
Episode: 220/100000, Score: -158.0, Epsilon: 0.06
Episode: 221/100000, Score: -165.0, Epsilon: 0.05
Episode: 222/100000, Score: -124.0, Epsilon: 0.05
Episode: 223/100000, Score: -201.0, Epsilon: 0.05
Episode: 224/100000, Score: -263.0, Epsilon: 0.05
Episode: 225/100000, Score: -242.0, Epsilon: 0.05
Episode: 226/100000, Score: -173.0, Epsilon: 0.05
Episode: 227/100000, Score: -125.0, Epsilon: 0.05
Episode: 228/100000, Score: -171.0, Epsilon: 0.05
Episode: 229/100000, Score: -142.0, Epsilon: 0.05
Episode: 230/100000, Score: -267.0, Epsilon: 0.05
Episode: 231/100000, Score: -300.0, Epsilon: 0.05
Episode: 232/100000, Score: -174.0, Epsilon: 0.05
Episode: 233/100000, Score: -152.0, Epsilon: 0.05
Episode: 234/100000, Score: -283.0, Epsilon: 0.05
Episode: 235/100000, Score: -215.0, Epsilon: 0.05
Episode: 236/100000, Score: -226.0, Epsilon: 0.05
Episode: 237/100000, Score: -126.0, Epsilon: 0.05
Episode: 238/100000, Score: -179.0, Epsilon: 0.05
Episode: 239/100000, Score: -127.0, Epsilon: 0.05
Episode: 240/100000, Score: -235.0, Epsilon: 0.05
Episode: 241/100000, Score: -193.0, Epsilon: 0.04
Episode: 242/100000, Score: -213.0, Epsilon: 0.04
Episode: 243/100000, Score: -221.0, Epsilon: 0.04
Episode: 244/100000, Score: -143.0, Epsilon: 0.04
Episode: 245/100000, Score: -238.0, Epsilon: 0.04
Episode: 246/100000, Score: -180.0, Epsilon: 0.04
Episode: 247/100000, Score: -189.0, Epsilon: 0.04
Episode: 248/100000, Score: -236.0, Epsilon: 0.04
Episode: 249/100000, Score: -270.0, Epsilon: 0.04
Episode: 250/100000, Score: -287.0, Epsilon: 0.04
Episode: 251/100000, Score: -251.0, Epsilon: 0.04
Episode: 252/100000, Score: -237.0, Epsilon: 0.04
Episode: 253/100000, Score: -128.0, Epsilon: 0.04
Episode: 254/100000, Score: -181.0, Epsilon: 0.04
Episode: 255/100000, Score: -145.0, Epsilon: 0.04
Episode: 256/100000, Score: -152.0, Epsilon: 0.04
Episode: 257/100000, Score: -109.0, Epsilon: 0.04
Episode: 258/100000, Score: -300.0, Epsilon: 0.04
Episode: 259/100000, Score: -300.0, Epsilon: 0.04
Episode: 260/100000, Score: -300.0, Epsilon: 0.04
Episode: 261/100000, Score: -300.0, Epsilon: 0.04
Episode: 262/100000, Score: -232.0, Epsilon: 0.04
Episode: 263/100000, Score: -185.0, Epsilon: 0.04
Episode: 264/100000, Score: -174.0, Epsilon: 0.04
Episode: 265/100000, Score: -242.0, Epsilon: 0.03
Episode: 266/100000, Score: -197.0, Epsilon: 0.03
Episode: 267/100000, Score: -208.0, Epsilon: 0.03
Episode: 268/100000, Score: -229.0, Epsilon: 0.03
Episode: 269/100000, Score: -116.0, Epsilon: 0.03
Episode: 270/100000, Score: -119.0, Epsilon: 0.03
Episode: 271/100000, Score: -199.0, Epsilon: 0.03
Episode: 272/100000, Score: -292.0, Epsilon: 0.03
Episode: 273/100000, Score: -194.0, Epsilon: 0.03
Episode: 274/100000, Score: -157.0, Epsilon: 0.03
Episode: 275/100000, Score: -210.0, Epsilon: 0.03
Episode: 276/100000, Score: -202.0, Epsilon: 0.03
Episode: 277/100000, Score: -189.0, Epsilon: 0.03
Episode: 278/100000, Score: -273.0, Epsilon: 0.03
Episode: 279/100000, Score: -137.0, Epsilon: 0.03
Episode: 280/100000, Score: -198.0, Epsilon: 0.03
Episode: 281/100000, Score: -162.0, Epsilon: 0.03
Episode: 282/100000, Score: -149.0, Epsilon: 0.03
Episode: 283/100000, Score: -165.0, Epsilon: 0.03
Episode: 284/100000, Score: -135.0, Epsilon: 0.03
Episode: 285/100000, Score: -138.0, Epsilon: 0.03
Episode: 286/100000, Score: -148.0, Epsilon: 0.03
Episode: 287/100000, Score: -156.0, Epsilon: 0.03
Episode: 288/100000, Score: -129.0, Epsilon: 0.03
Episode: 289/100000, Score: -124.0, Epsilon: 0.03
Episode: 290/100000, Score: -131.0, Epsilon: 0.03
Episode: 291/100000, Score: -130.0, Epsilon: 0.03
Episode: 292/100000, Score: -275.0, Epsilon: 0.03
