wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230601_104845-wz2wmw13
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run stellar-pine-5
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Model%20Sigmas
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Model%20Sigmas/runs/wz2wmw13
Episode: 145/10000, Score: -222.0, Epsilon: 0.14
Episode: 146/10000, Score: -224.0, Epsilon: 0.14
Episode: 147/10000, Score: -174.0, Epsilon: 0.14
Episode: 148/10000, Score: -166.0, Epsilon: 0.14
Episode: 149/10000, Score: -231.0, Epsilon: 0.13
Episode: 150/10000, Score: -134.0, Epsilon: 0.13
Episode: 151/10000, Score: -158.0, Epsilon: 0.13
Episode: 152/10000, Score: -300.0, Epsilon: 0.13
Episode: 153/10000, Score: -100.0, Epsilon: 0.13
Episode: 154/10000, Score: -181.0, Epsilon: 0.13
Episode: 155/10000, Score: -186.0, Epsilon: 0.13
Episode: 156/10000, Score: -140.0, Epsilon: 0.13
Episode: 157/10000, Score: -161.0, Epsilon: 0.12
Episode: 158/10000, Score: -300.0, Epsilon: 0.12
Episode: 159/10000, Score: -277.0, Epsilon: 0.12
Episode: 160/10000, Score: -193.0, Epsilon: 0.12
Episode: 161/10000, Score: -149.0, Epsilon: 0.12
Episode: 162/10000, Score: -167.0, Epsilon: 0.12
Episode: 163/10000, Score: -267.0, Epsilon: 0.12
Episode: 164/10000, Score: -259.0, Epsilon: 0.12
Episode: 165/10000, Score: -206.0, Epsilon: 0.11
Episode: 166/10000, Score: -204.0, Epsilon: 0.11
Episode: 167/10000, Score: -189.0, Epsilon: 0.11
Episode: 168/10000, Score: -142.0, Epsilon: 0.11
Episode: 169/10000, Score: -154.0, Epsilon: 0.11
