wandb: Currently logged in as: naddeok. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.15.3 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.2
wandb: Run data is saved locally in /home/naddeok5/exVDP-exRL/wandb/run-20230526_113644-ou4kc9w0
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run good-silence-1
wandb: ⭐️ View project at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh
wandb: 🚀 View run at https://wandb.ai/naddeok/VDP%20DQN%20Acrobot%20-%20Fresh/runs/ou4kc9w0
Episode: 100/10000, Score: -300.0, Epsilon: 0.86
Episode: 101/10000, Score: -300.0, Epsilon: 0.86
Episode: 102/10000, Score: -300.0, Epsilon: 0.86
Episode: 103/10000, Score: -300.0, Epsilon: 0.86
Episode: 104/10000, Score: -300.0, Epsilon: 0.86
Episode: 105/10000, Score: -300.0, Epsilon: 0.85
Episode: 106/10000, Score: -300.0, Epsilon: 0.85
Episode: 107/10000, Score: -300.0, Epsilon: 0.85
Episode: 108/10000, Score: -300.0, Epsilon: 0.85
Episode: 109/10000, Score: -300.0, Epsilon: 0.85
Episode: 110/10000, Score: -300.0, Epsilon: 0.85
Episode: 111/10000, Score: -300.0, Epsilon: 0.85
Episode: 112/10000, Score: -300.0, Epsilon: 0.85
Episode: 113/10000, Score: -300.0, Epsilon: 0.84
Episode: 114/10000, Score: -300.0, Epsilon: 0.84
Episode: 115/10000, Score: -300.0, Epsilon: 0.84
Episode: 116/10000, Score: -300.0, Epsilon: 0.84
Episode: 117/10000, Score: -300.0, Epsilon: 0.84
Episode: 118/10000, Score: -300.0, Epsilon: 0.84
Episode: 119/10000, Score: -300.0, Epsilon: 0.84
Episode: 120/10000, Score: -300.0, Epsilon: 0.84
Episode: 121/10000, Score: -300.0, Epsilon: 0.83
Episode: 122/10000, Score: -300.0, Epsilon: 0.83
Episode: 123/10000, Score: -300.0, Epsilon: 0.83
Episode: 124/10000, Score: -300.0, Epsilon: 0.83
Episode: 125/10000, Score: -300.0, Epsilon: 0.83
Episode: 126/10000, Score: -300.0, Epsilon: 0.83
Episode: 127/10000, Score: -300.0, Epsilon: 0.83
Episode: 128/10000, Score: -300.0, Epsilon: 0.83
Episode: 129/10000, Score: -300.0, Epsilon: 0.82
Episode: 130/10000, Score: -300.0, Epsilon: 0.82
Episode: 131/10000, Score: -300.0, Epsilon: 0.82
Episode: 132/10000, Score: -300.0, Epsilon: 0.82
Episode: 133/10000, Score: -300.0, Epsilon: 0.82
Episode: 134/10000, Score: -300.0, Epsilon: 0.82
Episode: 135/10000, Score: -300.0, Epsilon: 0.82
Episode: 136/10000, Score: -300.0, Epsilon: 0.82
Episode: 137/10000, Score: -300.0, Epsilon: 0.81
Episode: 138/10000, Score: -300.0, Epsilon: 0.81
Episode: 139/10000, Score: -300.0, Epsilon: 0.81
Episode: 140/10000, Score: -300.0, Epsilon: 0.81
Episode: 141/10000, Score: -300.0, Epsilon: 0.81
Episode: 142/10000, Score: -300.0, Epsilon: 0.81
Episode: 143/10000, Score: -300.0, Epsilon: 0.81
Episode: 144/10000, Score: -300.0, Epsilon: 0.81
Episode: 145/10000, Score: -300.0, Epsilon: 0.80
Episode: 146/10000, Score: -300.0, Epsilon: 0.80
Episode: 147/10000, Score: -300.0, Epsilon: 0.80
Episode: 148/10000, Score: -300.0, Epsilon: 0.80
Episode: 149/10000, Score: -300.0, Epsilon: 0.80
Episode: 150/10000, Score: -300.0, Epsilon: 0.80
Episode: 151/10000, Score: -300.0, Epsilon: 0.80
Episode: 152/10000, Score: -300.0, Epsilon: 0.80
Episode: 153/10000, Score: -300.0, Epsilon: 0.80
Episode: 154/10000, Score: -300.0, Epsilon: 0.79
Episode: 155/10000, Score: -300.0, Epsilon: 0.79
Episode: 156/10000, Score: -300.0, Epsilon: 0.79
Episode: 157/10000, Score: -300.0, Epsilon: 0.79
Episode: 158/10000, Score: -300.0, Epsilon: 0.79
Episode: 159/10000, Score: -300.0, Epsilon: 0.79
Episode: 160/10000, Score: -300.0, Epsilon: 0.79
Episode: 161/10000, Score: -300.0, Epsilon: 0.79
Episode: 162/10000, Score: -300.0, Epsilon: 0.78
Episode: 163/10000, Score: -300.0, Epsilon: 0.78
Episode: 164/10000, Score: -300.0, Epsilon: 0.78
Episode: 165/10000, Score: -300.0, Epsilon: 0.78
Episode: 166/10000, Score: -300.0, Epsilon: 0.78
Episode: 167/10000, Score: -300.0, Epsilon: 0.78
Episode: 168/10000, Score: -300.0, Epsilon: 0.78
Episode: 169/10000, Score: -300.0, Epsilon: 0.78
Episode: 170/10000, Score: -300.0, Epsilon: 0.78
Episode: 171/10000, Score: -300.0, Epsilon: 0.77
Episode: 172/10000, Score: -300.0, Epsilon: 0.77
Episode: 173/10000, Score: -300.0, Epsilon: 0.77
Episode: 174/10000, Score: -300.0, Epsilon: 0.77
Episode: 175/10000, Score: -300.0, Epsilon: 0.77
Episode: 176/10000, Score: -300.0, Epsilon: 0.77
Episode: 177/10000, Score: -300.0, Epsilon: 0.77
Episode: 178/10000, Score: -300.0, Epsilon: 0.77
Episode: 179/10000, Score: -300.0, Epsilon: 0.76
Episode: 180/10000, Score: -300.0, Epsilon: 0.76
Episode: 181/10000, Score: -300.0, Epsilon: 0.76
Episode: 182/10000, Score: -300.0, Epsilon: 0.76
Episode: 183/10000, Score: -300.0, Epsilon: 0.76
Episode: 184/10000, Score: -300.0, Epsilon: 0.76
Episode: 185/10000, Score: -300.0, Epsilon: 0.76
Episode: 186/10000, Score: -300.0, Epsilon: 0.76
Episode: 187/10000, Score: -300.0, Epsilon: 0.76
Episode: 188/10000, Score: -300.0, Epsilon: 0.75
Episode: 189/10000, Score: -300.0, Epsilon: 0.75
Episode: 190/10000, Score: -300.0, Epsilon: 0.75
Episode: 191/10000, Score: -300.0, Epsilon: 0.75
Episode: 192/10000, Score: -300.0, Epsilon: 0.75
Episode: 193/10000, Score: -300.0, Epsilon: 0.75
Episode: 194/10000, Score: -300.0, Epsilon: 0.75
Episode: 195/10000, Score: -300.0, Epsilon: 0.75
Episode: 196/10000, Score: -300.0, Epsilon: 0.75
Episode: 197/10000, Score: -300.0, Epsilon: 0.74
Episode: 198/10000, Score: -300.0, Epsilon: 0.74
Episode: 199/10000, Score: -300.0, Epsilon: 0.74
Episode: 200/10000, Score: -300.0, Epsilon: 0.74
Episode: 201/10000, Score: -300.0, Epsilon: 0.74
Episode: 202/10000, Score: -300.0, Epsilon: 0.74
Episode: 203/10000, Score: -300.0, Epsilon: 0.74
Episode: 204/10000, Score: -300.0, Epsilon: 0.74
Episode: 205/10000, Score: -300.0, Epsilon: 0.74
Episode: 206/10000, Score: -300.0, Epsilon: 0.73
Episode: 207/10000, Score: -300.0, Epsilon: 0.73
Episode: 208/10000, Score: -300.0, Epsilon: 0.73
Episode: 209/10000, Score: -300.0, Epsilon: 0.73
Episode: 210/10000, Score: -300.0, Epsilon: 0.73
Episode: 211/10000, Score: -300.0, Epsilon: 0.73
Episode: 212/10000, Score: -300.0, Epsilon: 0.73
Episode: 213/10000, Score: -300.0, Epsilon: 0.73
Episode: 214/10000, Score: -300.0, Epsilon: 0.73
Episode: 215/10000, Score: -300.0, Epsilon: 0.72
Episode: 216/10000, Score: -300.0, Epsilon: 0.72
Episode: 217/10000, Score: -300.0, Epsilon: 0.72
Episode: 218/10000, Score: -300.0, Epsilon: 0.72
Episode: 219/10000, Score: -300.0, Epsilon: 0.72
Episode: 220/10000, Score: -300.0, Epsilon: 0.72
Episode: 221/10000, Score: -300.0, Epsilon: 0.72
Episode: 222/10000, Score: -300.0, Epsilon: 0.72
Episode: 223/10000, Score: -300.0, Epsilon: 0.72
Episode: 224/10000, Score: -300.0, Epsilon: 0.71
Episode: 225/10000, Score: -300.0, Epsilon: 0.71
Episode: 226/10000, Score: -300.0, Epsilon: 0.71
Episode: 227/10000, Score: -300.0, Epsilon: 0.71
Episode: 228/10000, Score: -300.0, Epsilon: 0.71
Episode: 229/10000, Score: -300.0, Epsilon: 0.71
Episode: 230/10000, Score: -300.0, Epsilon: 0.71
Episode: 231/10000, Score: -300.0, Epsilon: 0.71
Episode: 232/10000, Score: -300.0, Epsilon: 0.71
Episode: 233/10000, Score: -300.0, Epsilon: 0.71
Episode: 234/10000, Score: -300.0, Epsilon: 0.70
Episode: 235/10000, Score: -300.0, Epsilon: 0.70
Episode: 236/10000, Score: -300.0, Epsilon: 0.70
Episode: 237/10000, Score: -300.0, Epsilon: 0.70
Episode: 238/10000, Score: -300.0, Epsilon: 0.70
Episode: 239/10000, Score: -300.0, Epsilon: 0.70
Episode: 240/10000, Score: -300.0, Epsilon: 0.70
Episode: 241/10000, Score: -300.0, Epsilon: 0.70
Episode: 242/10000, Score: -300.0, Epsilon: 0.70
Episode: 243/10000, Score: -300.0, Epsilon: 0.69
Episode: 244/10000, Score: -300.0, Epsilon: 0.69
Episode: 245/10000, Score: -300.0, Epsilon: 0.69
Episode: 246/10000, Score: -300.0, Epsilon: 0.69
Episode: 247/10000, Score: -300.0, Epsilon: 0.69
Episode: 248/10000, Score: -300.0, Epsilon: 0.69
Episode: 249/10000, Score: -300.0, Epsilon: 0.69
Episode: 250/10000, Score: -300.0, Epsilon: 0.69
Episode: 251/10000, Score: -300.0, Epsilon: 0.69
Episode: 252/10000, Score: -300.0, Epsilon: 0.69
Episode: 253/10000, Score: -300.0, Epsilon: 0.68
Episode: 254/10000, Score: -300.0, Epsilon: 0.68
Episode: 255/10000, Score: -300.0, Epsilon: 0.68
Episode: 256/10000, Score: -300.0, Epsilon: 0.68
Episode: 257/10000, Score: -300.0, Epsilon: 0.68
Episode: 258/10000, Score: -300.0, Epsilon: 0.68
Episode: 259/10000, Score: -300.0, Epsilon: 0.68
Episode: 260/10000, Score: -300.0, Epsilon: 0.68
Episode: 261/10000, Score: -300.0, Epsilon: 0.68
Episode: 262/10000, Score: -300.0, Epsilon: 0.68
Episode: 263/10000, Score: -300.0, Epsilon: 0.67
Episode: 264/10000, Score: -300.0, Epsilon: 0.67
Episode: 265/10000, Score: -300.0, Epsilon: 0.67
Episode: 266/10000, Score: -300.0, Epsilon: 0.67
Episode: 267/10000, Score: -300.0, Epsilon: 0.67
Episode: 268/10000, Score: -300.0, Epsilon: 0.67
Episode: 269/10000, Score: -300.0, Epsilon: 0.67
Episode: 270/10000, Score: -300.0, Epsilon: 0.67
Episode: 271/10000, Score: -300.0, Epsilon: 0.67
Episode: 272/10000, Score: -300.0, Epsilon: 0.67
Episode: 273/10000, Score: -300.0, Epsilon: 0.66
Episode: 274/10000, Score: -300.0, Epsilon: 0.66
Episode: 275/10000, Score: -300.0, Epsilon: 0.66
Episode: 276/10000, Score: -300.0, Epsilon: 0.66
Episode: 277/10000, Score: -300.0, Epsilon: 0.66
Episode: 278/10000, Score: -300.0, Epsilon: 0.66
Episode: 279/10000, Score: -300.0, Epsilon: 0.66
Episode: 280/10000, Score: -300.0, Epsilon: 0.66
Episode: 281/10000, Score: -300.0, Epsilon: 0.66
Episode: 282/10000, Score: -300.0, Epsilon: 0.66
Episode: 283/10000, Score: -300.0, Epsilon: 0.65
Episode: 284/10000, Score: -300.0, Epsilon: 0.65
Episode: 285/10000, Score: -300.0, Epsilon: 0.65
Episode: 286/10000, Score: -300.0, Epsilon: 0.65
Episode: 287/10000, Score: -300.0, Epsilon: 0.65
Episode: 288/10000, Score: -300.0, Epsilon: 0.65
Episode: 289/10000, Score: -300.0, Epsilon: 0.65
Episode: 290/10000, Score: -300.0, Epsilon: 0.65
Episode: 291/10000, Score: -300.0, Epsilon: 0.65
Episode: 292/10000, Score: -300.0, Epsilon: 0.65
Episode: 293/10000, Score: -300.0, Epsilon: 0.64
Episode: 294/10000, Score: -300.0, Epsilon: 0.64
Episode: 295/10000, Score: -300.0, Epsilon: 0.64
Episode: 296/10000, Score: -300.0, Epsilon: 0.64
Episode: 297/10000, Score: -300.0, Epsilon: 0.64
Episode: 298/10000, Score: -300.0, Epsilon: 0.64
Episode: 299/10000, Score: -300.0, Epsilon: 0.64
Episode: 300/10000, Score: -300.0, Epsilon: 0.64
Episode: 301/10000, Score: -300.0, Epsilon: 0.64
Episode: 302/10000, Score: -300.0, Epsilon: 0.64
Episode: 303/10000, Score: -300.0, Epsilon: 0.63
Episode: 304/10000, Score: -300.0, Epsilon: 0.63
Episode: 305/10000, Score: -300.0, Epsilon: 0.63
Episode: 306/10000, Score: -300.0, Epsilon: 0.63
Episode: 307/10000, Score: -300.0, Epsilon: 0.63
Episode: 308/10000, Score: -300.0, Epsilon: 0.63
Episode: 309/10000, Score: -300.0, Epsilon: 0.63
Episode: 310/10000, Score: -300.0, Epsilon: 0.63
Episode: 311/10000, Score: -300.0, Epsilon: 0.63
Episode: 312/10000, Score: -300.0, Epsilon: 0.63
Episode: 313/10000, Score: -300.0, Epsilon: 0.63
Episode: 314/10000, Score: -300.0, Epsilon: 0.62
Episode: 315/10000, Score: -300.0, Epsilon: 0.62
Episode: 316/10000, Score: -300.0, Epsilon: 0.62
Episode: 317/10000, Score: -300.0, Epsilon: 0.62
Episode: 318/10000, Score: -300.0, Epsilon: 0.62
Episode: 319/10000, Score: -300.0, Epsilon: 0.62
Episode: 320/10000, Score: -300.0, Epsilon: 0.62
Episode: 321/10000, Score: -300.0, Epsilon: 0.62
Episode: 322/10000, Score: -300.0, Epsilon: 0.62
Episode: 323/10000, Score: -300.0, Epsilon: 0.62
Episode: 324/10000, Score: -300.0, Epsilon: 0.62
Episode: 325/10000, Score: -300.0, Epsilon: 0.61
Episode: 326/10000, Score: -300.0, Epsilon: 0.61
Episode: 327/10000, Score: -300.0, Epsilon: 0.61
Episode: 328/10000, Score: -300.0, Epsilon: 0.61
Episode: 329/10000, Score: -300.0, Epsilon: 0.61
Episode: 330/10000, Score: -300.0, Epsilon: 0.61
Episode: 331/10000, Score: -300.0, Epsilon: 0.61
Episode: 332/10000, Score: -300.0, Epsilon: 0.61
Episode: 333/10000, Score: -300.0, Epsilon: 0.61
Episode: 334/10000, Score: -300.0, Epsilon: 0.61
Episode: 335/10000, Score: -300.0, Epsilon: 0.61
Episode: 336/10000, Score: -300.0, Epsilon: 0.60
Episode: 337/10000, Score: -300.0, Epsilon: 0.60
Episode: 338/10000, Score: -300.0, Epsilon: 0.60
Episode: 339/10000, Score: -300.0, Epsilon: 0.60
Episode: 340/10000, Score: -300.0, Epsilon: 0.60
Episode: 341/10000, Score: -300.0, Epsilon: 0.60
Episode: 342/10000, Score: -300.0, Epsilon: 0.60
Episode: 343/10000, Score: -300.0, Epsilon: 0.60
Episode: 344/10000, Score: -300.0, Epsilon: 0.60
Episode: 345/10000, Score: -300.0, Epsilon: 0.60
Episode: 346/10000, Score: -300.0, Epsilon: 0.60
Episode: 347/10000, Score: -300.0, Epsilon: 0.59
Episode: 348/10000, Score: -300.0, Epsilon: 0.59
Episode: 349/10000, Score: -300.0, Epsilon: 0.59
Episode: 350/10000, Score: -300.0, Epsilon: 0.59
Episode: 351/10000, Score: -300.0, Epsilon: 0.59
Episode: 352/10000, Score: -300.0, Epsilon: 0.59
Episode: 353/10000, Score: -300.0, Epsilon: 0.59
Episode: 354/10000, Score: -300.0, Epsilon: 0.59
Episode: 355/10000, Score: -300.0, Epsilon: 0.59
Episode: 356/10000, Score: -300.0, Epsilon: 0.59
Episode: 357/10000, Score: -300.0, Epsilon: 0.59
Episode: 358/10000, Score: -300.0, Epsilon: 0.58
Episode: 359/10000, Score: -300.0, Epsilon: 0.58
Episode: 360/10000, Score: -300.0, Epsilon: 0.58
Episode: 361/10000, Score: -300.0, Epsilon: 0.58
Episode: 362/10000, Score: -300.0, Epsilon: 0.58
Episode: 363/10000, Score: -300.0, Epsilon: 0.58
Episode: 364/10000, Score: -300.0, Epsilon: 0.58
Episode: 365/10000, Score: -300.0, Epsilon: 0.58
Episode: 366/10000, Score: -300.0, Epsilon: 0.58
Episode: 367/10000, Score: -300.0, Epsilon: 0.58
Episode: 368/10000, Score: -300.0, Epsilon: 0.58
Episode: 369/10000, Score: -300.0, Epsilon: 0.58
Episode: 370/10000, Score: -300.0, Epsilon: 0.57
Episode: 371/10000, Score: -300.0, Epsilon: 0.57
Episode: 372/10000, Score: -300.0, Epsilon: 0.57
Episode: 373/10000, Score: -300.0, Epsilon: 0.57
Episode: 374/10000, Score: -300.0, Epsilon: 0.57
Episode: 375/10000, Score: -300.0, Epsilon: 0.57
Episode: 376/10000, Score: -300.0, Epsilon: 0.57
Episode: 377/10000, Score: -300.0, Epsilon: 0.57
Episode: 378/10000, Score: -300.0, Epsilon: 0.57
Episode: 379/10000, Score: -300.0, Epsilon: 0.57
Episode: 380/10000, Score: -300.0, Epsilon: 0.57
Episode: 381/10000, Score: -300.0, Epsilon: 0.56
Episode: 382/10000, Score: -300.0, Epsilon: 0.56
Episode: 383/10000, Score: -300.0, Epsilon: 0.56
Episode: 384/10000, Score: -300.0, Epsilon: 0.56
Episode: 385/10000, Score: -300.0, Epsilon: 0.56
Episode: 386/10000, Score: -300.0, Epsilon: 0.56
Episode: 387/10000, Score: -300.0, Epsilon: 0.56
Episode: 388/10000, Score: -300.0, Epsilon: 0.56
Episode: 389/10000, Score: -300.0, Epsilon: 0.56
Episode: 390/10000, Score: -300.0, Epsilon: 0.56
Episode: 391/10000, Score: -300.0, Epsilon: 0.56
Episode: 392/10000, Score: -300.0, Epsilon: 0.56
Episode: 393/10000, Score: -300.0, Epsilon: 0.55
